n=1: 1.6927719116210938e-05,4.76837158203125e-06,6.9141387939453125e-06,5.0067901611328125e-06,2.6226043701171875e-06
n=2: 4.0531158447265625e-06,3.814697265625e-06,6.198883056640625e-06,3.0994415283203125e-06,2.86102294921875e-06
n=3: 2.86102294921875e-06,3.0994415283203125e-06,3.0994415283203125e-06,1.9073486328125e-06,2.1457672119140625e-06
n=4: 3.0994415283203125e-06,2.86102294921875e-06,2.1457672119140625e-06,3.0994415283203125e-06,2.86102294921875e-06
n=5: 4.0531158447265625e-06,2.86102294921875e-06,4.0531158447265625e-06,2.86102294921875e-06,3.0994415283203125e-06
n=6: 4.0531158447265625e-06,3.0994415283203125e-06,2.86102294921875e-06,4.0531158447265625e-06,3.0994415283203125e-06
n=7: 3.814697265625e-06,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06
n=8: 3.814697265625e-06,4.0531158447265625e-06,3.814697265625e-06,4.291534423828125e-06,4.0531158447265625e-06
n=9: 5.9604644775390625e-06,4.0531158447265625e-06,5.0067901611328125e-06,4.0531158447265625e-06,3.814697265625e-06
n=10: 5.245208740234375e-06,4.76837158203125e-06,5.245208740234375e-06,4.76837158203125e-06,4.0531158447265625e-06
n=11: 4.76837158203125e-06,4.291534423828125e-06,3.814697265625e-06,4.0531158447265625e-06,3.814697265625e-06
n=12: 5.245208740234375e-06,4.76837158203125e-06,5.245208740234375e-06,4.76837158203125e-06,5.245208740234375e-06
n=13: 6.9141387939453125e-06,4.76837158203125e-06,5.245208740234375e-06,5.7220458984375e-06,6.198883056640625e-06
n=14: 6.9141387939453125e-06,6.198883056640625e-06,5.9604644775390625e-06,5.7220458984375e-06,5.0067901611328125e-06
n=15: 5.9604644775390625e-06,6.198883056640625e-06,6.198883056640625e-06,5.9604644775390625e-06,6.198883056640625e-06
n=16: 5.9604644775390625e-06,5.9604644775390625e-06,7.152557373046875e-06,5.9604644775390625e-06,6.198883056640625e-06
n=17: 7.152557373046875e-06,6.9141387939453125e-06,6.9141387939453125e-06,5.9604644775390625e-06,6.9141387939453125e-06
n=18: 6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,5.9604644775390625e-06,6.198883056640625e-06
n=19: 6.9141387939453125e-06,6.9141387939453125e-06,7.152557373046875e-06,7.152557373046875e-06,6.9141387939453125e-06
n=20: 6.9141387939453125e-06,7.152557373046875e-06,8.106231689453125e-06,6.9141387939453125e-06,6.9141387939453125e-06
n=21: 8.106231689453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,7.152557373046875e-06
n=22: 7.867813110351562e-06,8.106231689453125e-06,7.867813110351562e-06,7.867813110351562e-06,8.106231689453125e-06
n=23: 8.106231689453125e-06,7.867813110351562e-06,9.059906005859375e-06,7.867813110351562e-06,8.106231689453125e-06
n=24: 9.298324584960938e-06,8.821487426757812e-06,9.059906005859375e-06,8.821487426757812e-06,9.059906005859375e-06
n=25: 1.0013580322265625e-05,8.821487426757812e-06,8.821487426757812e-06,9.298324584960938e-06,9.059906005859375e-06
n=26: 8.821487426757812e-06,8.821487426757812e-06,9.059906005859375e-06,9.059906005859375e-06,8.821487426757812e-06
n=27: 1.0013580322265625e-05,9.775161743164062e-06,1.0013580322265625e-05,1.0013580322265625e-05,1.0013580322265625e-05
n=28: 1.0251998901367188e-05,1.0251998901367188e-05,1.0013580322265625e-05,9.298324584960938e-06,1.0013580322265625e-05
n=29: 1.0251998901367188e-05,1.0967254638671875e-05,1.1205673217773438e-05,9.775161743164062e-06,1.0251998901367188e-05
n=30: 1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.0967254638671875e-05
n=31: 1.0967254638671875e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0967254638671875e-05
n=32: 1.1205673217773438e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.0967254638671875e-05
n=33: 1.2159347534179688e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.0967254638671875e-05
n=34: 1.2159347534179688e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.1920928955078125e-05
n=35: 1.3113021850585938e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.2159347534179688e-05
n=36: 1.3113021850585938e-05,1.2636184692382812e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.2159347534179688e-05
n=37: 1.3828277587890625e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.3828277587890625e-05
n=38: 1.4066696166992188e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05
n=39: 1.3828277587890625e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.3828277587890625e-05,1.4066696166992188e-05
n=40: 1.3828277587890625e-05,1.4066696166992188e-05,1.430511474609375e-05,1.3589859008789062e-05,1.3113021850585938e-05
n=41: 1.5020370483398438e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.3828277587890625e-05,1.4066696166992188e-05
n=42: 1.5020370483398438e-05,1.4781951904296875e-05,1.4066696166992188e-05,1.4781951904296875e-05,1.52587890625e-05
n=43: 1.5974044799804688e-05,1.5020370483398438e-05,1.4781951904296875e-05,1.5020370483398438e-05,1.5020370483398438e-05
n=44: 1.5020370483398438e-05,1.4781951904296875e-05,1.52587890625e-05,1.4781951904296875e-05,1.52587890625e-05
n=45: 1.5974044799804688e-05,1.621246337890625e-05,1.5735626220703125e-05,1.621246337890625e-05,1.5974044799804688e-05
n=46: 1.6927719116210938e-05,1.5974044799804688e-05,1.5735626220703125e-05,1.5974044799804688e-05,1.6927719116210938e-05
n=47: 1.6927719116210938e-05,1.621246337890625e-05,1.5974044799804688e-05,1.71661376953125e-05,1.5735626220703125e-05
n=48: 1.6689300537109375e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05
n=49: 3.981590270996094e-05,1.6927719116210938e-05,1.8358230590820312e-05,1.6927719116210938e-05,1.7881393432617188e-05
n=50: 1.811981201171875e-05,1.811981201171875e-05,1.6927719116210938e-05,1.71661376953125e-05,1.71661376953125e-05
n=51: 1.811981201171875e-05,3.0040740966796875e-05,1.8835067749023438e-05,2.3126602172851562e-05,1.811981201171875e-05
n=52: 1.9311904907226562e-05,1.8835067749023438e-05,1.9073486328125e-05,1.8835067749023438e-05,1.811981201171875e-05
n=53: 2.288818359375e-05,1.9311904907226562e-05,1.8835067749023438e-05,1.8835067749023438e-05,1.9073486328125e-05
n=54: 1.8835067749023438e-05,1.8835067749023438e-05,2.7179718017578125e-05,1.9073486328125e-05,1.8835067749023438e-05
n=55: 1.9788742065429688e-05,2.002716064453125e-05,1.9073486328125e-05,1.9073486328125e-05,1.9311904907226562e-05
